name,latitude,longitude,weight,type
612,41.78392,-87.7351,1038,potential
613,41.78892,-87.7351,988,potential
614,41.79392,-87.7351,950,potential
615,41.79892,-87.7351,878,potential
616,41.80392,-87.7351,813,potential
617,41.80892,-87.7351,795,potential
618,41.81392,-87.7351,723,potential
619,41.81892,-87.7351,523,potential
620,41.82392,-87.7351,750,potential
621,41.82892,-87.7351,714,potential
622,41.83392,-87.7351,602,potential
623,41.83892,-87.7351,556,potential
624,41.84392,-87.7351,462,potential
625,41.84892,-87.7351,450,potential
626,41.85392,-87.7351,432,potential
627,41.85892,-87.7351,418,potential
628,41.86392,-87.7351,385,potential
629,41.86892,-87.7351,332,potential
630,41.87392,-87.7351,298,potential
631,41.87892,-87.7351,453,potential
632,41.88392,-87.7351,438,potential
633,41.88892,-87.7351,564,potential
634,41.89392,-87.7351,645,potential
635,41.89892,-87.7351,731,potential
636,41.90392,-87.7351,780,potential
637,41.90892,-87.7351,877,potential
638,41.91392,-87.7351,1002,potential
639,41.91892,-87.7351,1004,potential
640,41.92392,-87.7351,991,potential
641,41.92892,-87.7351,1019,potential
642,41.93392,-87.7351,1000,potential
643,41.93892,-87.7351,931,potential
644,41.94392,-87.7351,1001,potential
645,41.94892,-87.7351,929,potential
646,41.95392,-87.7351,913,potential
647,41.95892,-87.7351,909,potential
648,41.96392,-87.7351,987,potential
649,41.96892,-87.7351,1204,potential
650,41.97392,-87.7351,1146,potential
651,41.97892,-87.7351,1316,potential
652,41.98392,-87.7351,1311,potential
653,41.98892,-87.7351,1343,potential
654,41.99392,-87.7351,1353,potential
655,41.68392,-87.7301,1477,potential
656,41.68892,-87.7301,1659,potential
657,41.73892,-87.7301,1495,potential
658,41.74392,-87.7301,1438,potential
659,41.74892,-87.7301,1376,potential
660,41.75392,-87.7301,1310,potential
661,41.75892,-87.7301,1329,potential
662,41.76392,-87.7301,1218,potential
663,41.76892,-87.7301,1205,potential
664,41.77392,-87.7301,1151,potential
665,41.77892,-87.7301,1084,potential
666,41.78392,-87.7301,1016,potential
667,41.78892,-87.7301,1008,potential
668,41.79392,-87.7301,947,potential
669,41.79892,-87.7301,834,potential
670,41.80392,-87.7301,801,potential
671,41.80892,-87.7301,766,potential
672,41.81392,-87.7301,692,potential
673,41.81892,-87.7301,652,potential
674,41.82392,-87.7301,711,potential
675,41.82892,-87.7301,677,potential
676,41.83392,-87.7301,623,potential
677,41.83892,-87.7301,556,potential
678,41.84392,-87.7301,459,potential
679,41.84892,-87.7301,360,potential
680,41.85392,-87.7301,430,potential
681,41.85892,-87.7301,376,potential
682,41.86392,-87.7301,431,potential
683,41.86892,-87.7301,409,potential
684,41.87392,-87.7301,340,potential
685,41.87892,-87.7301,429,potential
686,41.88392,-87.7301,527,potential
687,41.88892,-87.7301,636,potential
688,41.89392,-87.7301,599,potential
689,41.89892,-87.7301,684,potential
690,41.90392,-87.7301,717,potential
691,41.90892,-87.7301,831,potential
692,41.91392,-87.7301,921,potential
693,41.91892,-87.7301,999,potential
694,41.92392,-87.7301,938,potential
695,41.92892,-87.7301,912,potential
696,41.93392,-87.7301,999,potential
697,41.93892,-87.7301,883,potential
698,41.94392,-87.7301,945,potential
699,41.94892,-87.7301,968,potential
700,41.95392,-87.7301,1005,potential
701,41.95892,-87.7301,932,potential
702,41.96392,-87.7301,1058,potential
703,41.96892,-87.7301,1125,potential
704,41.97392,-87.7301,1173,potential
705,41.97892,-87.7301,1272,potential
706,41.98392,-87.7301,1281,potential
707,41.98892,-87.7301,1329,potential
708,41.99392,-87.7301,1365,potential
709,41.68392,-87.7251,1513,potential
710,41.68892,-87.7251,1580,potential
711,41.73892,-87.7251,1453,potential
712,41.74392,-87.7251,1428,potential
713,41.74892,-87.7251,1346,potential
714,41.75392,-87.7251,1330,potential
715,41.75892,-87.7251,1239,potential
716,41.76392,-87.7251,1184,potential
717,41.76892,-87.7251,1149,potential
718,41.77392,-87.7251,1105,potential
719,41.77892,-87.7251,1042,potential
720,41.78392,-87.7251,963,potential
721,41.78892,-87.7251,925,potential
722,41.79392,-87.7251,903,potential
723,41.79892,-87.7251,932,potential
724,41.80392,-87.7251,763,potential
725,41.80892,-87.7251,707,potential
726,41.81392,-87.7251,624,potential
727,41.81892,-87.7251,595,potential
728,41.82392,-87.7251,511,potential
729,41.82892,-87.7251,634,potential
730,41.83392,-87.7251,568,potential
731,41.83892,-87.7251,472,potential
732,41.84392,-87.7251,401,potential
733,41.84892,-87.7251,337,potential
734,41.85392,-87.7251,342,potential
735,41.85892,-87.7251,330,potential
736,41.86392,-87.7251,356,potential
737,41.86892,-87.7251,328,potential
738,41.87392,-87.7251,237,potential
739,41.87892,-87.7251,395,potential
740,41.88392,-87.7251,459,potential
741,41.88892,-87.7251,540,potential
742,41.89392,-87.7251,574,potential
